ticket_no,book_ref,passenger_id,passenger_name,contact_data,book_ref,book_date,total_amount,ticket_no,flight_id,fare_conditions,amount,flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival,ticket_no,flight_id,boarding_no,seat_no
0005433766421,29415D,"8954 361954","GENNADIY NIKITIN","{"email": "nikitingennadiy-29021976@postgrespro.ru", "phone": "+70121306338"}",29415D,"2017-05-24 21:02:00",432900.00,0005433766421,19469,Comfort,47400.00,19469,PG0223,"2017-06-07 08:50:00","2017-06-07 12:15:00",OVB,DME,Arrived,773,"2017-06-07 08:53:00","2017-06-07 12:21:00",0005433766421,19469,60,15H
0005433766421,29415D,"8954 361954","GENNADIY NIKITIN","{"email": "nikitingennadiy-29021976@postgrespro.ru", "phone": "+70121306338"}",29415D,"2017-05-24 21:02:00",432900.00,0005433766421,51926,Economy,61500.00,51926,PG0209,"2017-06-17 09:55:00","2017-06-17 17:55:00",KHV,DME,Arrived,763,"2017-06-17 10:00:00","2017-06-17 18:10:00",0005433766421,51926,75,29H
0005433784346,41C522,"6261 726461","GENNADIY NIKITIN","{"phone": "+70700255515"}",41C522,"2017-07-04 19:56:00",136200.00,0005433784346,9879,Economy,6000.00,9879,PG0470,"2017-07-17 07:20:00","2017-07-17 08:10:00",SVO,LED,Arrived,321,"2017-07-17 07:25:00","2017-07-17 08:14:00",0005433784346,9879,30,31C
0005433784346,41C522,"6261 726461","GENNADIY NIKITIN","{"phone": "+70700255515"}",41C522,"2017-07-04 19:56:00",136200.00,0005433784346,17032,Economy,6000.00,17032,PG0474,"2017-07-28 12:40:00","2017-07-28 13:30:00",LED,SVO,Arrived,321,"2017-07-28 12:43:00","2017-07-28 13:33:00",0005433784346,17032,9,12A
0005433784346,41C522,"6261 726461","GENNADIY NIKITIN","{"phone": "+70700255515"}",41C522,"2017-07-04 19:56:00",136200.00,0005433784346,18555,Economy,62100.00,18555,PG0356,"2017-07-17 16:10:00","2017-07-18 00:15:00",LED,KHV,Arrived,763,"2017-07-17 16:12:00","2017-07-18 00:15:00",0005433784346,18555,99,24D
0005433784346,41C522,"6261 726461","GENNADIY NIKITIN","{"phone": "+70700255515"}",41C522,"2017-07-04 19:56:00",136200.00,0005433784346,52022,Economy,62100.00,52022,PG0357,"2017-07-28 02:05:00","2017-07-28 10:10:00",KHV,LED,Arrived,763,"2017-07-28 02:09:00","2017-07-28 10:08:00",0005433784346,52022,116,20D
0005433866148,F69903,"9209 820303","GENNADIY NIKITIN","{"phone": "+70023129259"}",F69903,"2017-05-17 06:31:00",137600.00,0005433866148,9419,Economy,17600.00,9419,PG0669,"2017-06-07 13:15:00","2017-06-07 15:45:00",VKO,KRO,Arrived,CR2,"2017-06-07 13:18:00","2017-06-07 15:48:00",0005433866148,9419,35,20D
0005433866148,F69903,"9209 820303","GENNADIY NIKITIN","{"phone": "+70023129259"}",F69903,"2017-05-17 06:31:00",137600.00,0005433866148,28740,Economy,16800.00,28740,PG0673,"2017-06-20 06:10:00","2017-06-20 08:35:00",KJA,KRO,Arrived,CR2,"2017-06-20 06:12:00","2017-06-20 08:36:00",0005433866148,28740,12,6D
0005433866148,F69903,"9209 820303","GENNADIY NIKITIN","{"phone": "+70023129259"}",F69903,"2017-05-17 06:31:00",137600.00,0005433866148,64611,Economy,17600.00,64611,PG0670,"2017-06-20 11:25:00","2017-06-20 13:55:00",KRO,VKO,Arrived,CR2,"2017-06-20 11:28:00","2017-06-20 13:58:00",0005433866148,64611,32,20A
0005433866148,F69903,"9209 820303","GENNADIY NIKITIN","{"phone": "+70023129259"}",F69903,"2017-05-17 06:31:00",137600.00,0005433866148,64813,Economy,16800.00,64813,PG0674,"2017-06-08 06:35:00","2017-06-08 09:00:00",KRO,KJA,Arrived,CR2,"2017-06-08 06:37:00","2017-06-08 09:00:00",0005433866148,64813,36,20D
0005433920499,4CED23,"0686 688955","GENNADIY NIKITIN","{"phone": "+70233647783"}",4CED23,"2017-06-16 12:41:00",116900.00,0005433920499,4285,Economy,11600.00,4285,PG0220,"2017-07-04 15:05:00","2017-07-04 16:35:00",DME,KRR,Arrived,763,"2017-07-04 15:07:00","2017-07-04 16:39:00",0005433920499,4285,37,21E
0005433920499,4CED23,"0686 688955","GENNADIY NIKITIN","{"phone": "+70233647783"}",4CED23,"2017-06-16 12:41:00",116900.00,0005433920499,47762,Business,34700.00,47762,PG0221,"2017-07-15 14:55:00","2017-07-15 16:25:00",KRR,DME,Arrived,763,"2017-07-15 14:58:00","2017-07-15 16:27:00",0005433920499,47762,3,3A
0005434021468,F7EBCD,"6147 522822","GENNADIY NIKITIN","{"email": "g.nikitin.091968@postgrespro.ru", "phone": "+70223809052"}",F7EBCD,"2017-06-15 13:45:00",49100.00,0005434021468,945,Business,24500.00,945,PG0216,"2017-07-01 11:10:00","2017-07-01 12:15:00",DME,KUF,Arrived,763,"2017-07-01 11:13:00","2017-07-01 12:17:00",0005434021468,945,64,5F
0005434021468,F7EBCD,"6147 522822","GENNADIY NIKITIN","{"email": "g.nikitin.091968@postgrespro.ru", "phone": "+70223809052"}",F7EBCD,"2017-06-15 13:45:00",49100.00,0005434021468,25083,Economy,8200.00,25083,PG0217,"2017-07-13 07:40:00","2017-07-13 08:45:00",KUF,DME,Arrived,763,"2017-07-13 07:40:00","2017-07-13 08:45:00",0005434021468,25083,114,18B
0005434136702,C8B357,"2647 874511","GENNADIY NIKITIN","{"email": "nikitin.g_05111963@postgrespro.ru", "phone": "+70088671414"}",C8B357,"2017-06-26 14:51:00",59300.00,0005434136702,14496,Business,23100.00,14496,PG0637,"2017-07-16 11:05:00","2017-07-16 12:05:00",SVO,KVX,Arrived,SU9,"2017-07-16 14:29:00","2017-07-16 15:29:00",0005434136702,14496,46,3D
